,date,id,content,username
0,2020-12-30 22:41:11+00:00,1344413251367391232,"$GOOG #Alphabet #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Gr3YvQQ4OY https://t.co/qpjlQFShqC",MITickWatcher
1,2020-12-30 15:35:32+00:00,1344306133654093824,"#Options Flow Grid Update $GOOG #OptionsTrading Alphabet Shares 🔻0.8% to $1,745.6 #OptionsFlow #stocks #stock #StockMarket #investing #Investment https://t.co/B7BWRcVOEf
https://t.co/ivQzHmntHl https://t.co/Qd73Yk6YZk",TickwatcherMF
2,2020-12-29 22:44:43+00:00,1344051751209422848,"$GOOG #Alphabet #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Gr3YvQQ4OY https://t.co/TGgFAQIxce",MITickWatcher
3,2020-12-29 14:22:37+00:00,1343925392789397508,"🔔
Goldman Sachs today set its price target on Facebook $FB at $330 with a Buy rating on the stock

Goldman also today reiterated its Buy rating on Alphabet (Google) $GOOG $GOOGL",TSQWK1
4,2020-12-29 14:20:19+00:00,1343924815393157121,"Goldman Sachs today set its price target on Facebook $FB at $330 with a Buy rating on the stock

Goldman also today reiterated its Buy rating on Alphabet (Google) $GOOG $GOOGL",StockMKTNewz
5,2020-12-28 22:50:10+00:00,1343690733539139584,"$GOOG #Alphabet #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Gr3YvQQ4OY https://t.co/42wUy7ZtoM",MITickWatcher
6,2020-12-27 06:03:43+00:00,1343075065286561792,"コード : GOOG
銘柄名(English) : ALPHABET INC. CL-C
銘柄名 : アルファベット クラスC
市場 : NASDAQ
業種 : ソフトウェア・ソフトウェアサービス
#GOOG https://t.co/pmxm6RvNkc",stock_simulate
7,2020-12-27 02:59:22+00:00,1343028672761094144,"9th largest would be $BTC if traded on the Stock Market. 
1 Apple $AAPL
2 Microsoft $MSFT
3 Amazon $AMZN
4 Alphabet $GOOG
5 Facebook $FB
6 Tesla $TSLA
7 Alibaba $BABA
8 Berkshire $BRK.B 

#Nasdaq
#Dow
#NYSE
#CBOE
#Philadelphia
#SIX
#IEX
#BXSwiss
#National
#Boston
#Kraken
#Binance https://t.co/eIBdZgNizZ",toddfmaki
8,2020-12-27 01:30:49+00:00,1343006386482012160,"@APompliano At $500B #Bitcoin If $BTC were a U.S exchange-listed stock it would be the 9th largest behind:

1 Apple $AAPL
2 Microsoft $MSFT
3 Amazon $AMZN
4 Alphabet $GOOG
5 Facebook $FB
6 Tesla $TSLA
7 Alibaba $BABA
8 Berkshire $BRK.B",StockMKTNewz
9,2020-12-26 17:14:21+00:00,1342881448332820481,"At current levels, #Bitcoin has a market cap of $480.5B

If $BTC were a U.S exchange-listed stock it would be the 10th largest behind:

1 Apple $AAPL
2 Microsoft $MSFT
3 Amazon $AMZN
4 Alphabet $GOOG
5 Facebook $FB
6 Tesla $TSLA
7 Alibaba $BABA
8 Berkshire $BRK.B
9 Visa $V",StockMKTNewz
