,estimated_diameter,name,neo_reference_id,absolute_magnitude_h,is_sentry_object,close_approach_day,close_approach_full,relative_velocity_kmh,miss_distance_lunar,miss_distance_astro,miss_distance_km,estimated_diameter_min,estimated_diameter_max,average_diameter,impact_strength
0,"{'kilometers': {'estimated_diameter_min': 0.8801465209, 'estimated_diameter_max': 1.9680674509}, 'meters': {'estimated_diameter_min': 880.1465209007, 'estimated_diameter_max': 1968.067450894}, 'miles': {'estimated_diameter_min': 0.5468975238, 'estimated_diameter_max': 1.22290004}, 'feet': {'estimated_diameter_min': 2887.6199116319, 'estimated_diameter_max': 6456.914415591}}",162483 (2000 PJ5),2162483,17.4,False,2019-01-08,2019-Jan-08 13:29,132603.7662808978,180.0649385581,0.4628918729,69247638.226150723,880.1465209007,1968.067450894,1424.1069858973501,188841949.91692606
1,"{'kilometers': {'estimated_diameter_min': 0.2538370294, 'estimated_diameter_max': 0.5675968529}, 'meters': {'estimated_diameter_min': 253.8370293645, 'estimated_diameter_max': 567.5968528656}, 'miles': {'estimated_diameter_min': 0.1577269688, 'estimated_diameter_max': 0.3526882241}, 'feet': {'estimated_diameter_min': 832.7986794202, 'estimated_diameter_max': 1862.1944587557}}",376864 (2001 TP103),2376864,20.1,False,2019-01-08,2019-Jan-08 18:53,9541.124266855,77.4243774377,0.1990343893,29775120.696030791,253.8370293645,567.5968528656,410.71694111505,3918701.37368126
2,"{'kilometers': {'estimated_diameter_min': 0.5553349116, 'estimated_diameter_max': 1.2417666126}, 'meters': {'estimated_diameter_min': 555.334911581, 'estimated_diameter_max': 1241.766612574}, 'miles': {'estimated_diameter_min': 0.3450690093, 'estimated_diameter_max': 0.7715977618}, 'feet': {'estimated_diameter_min': 1821.9649913114, 'estimated_diameter_max': 4074.0375731972}}",436774 (2012 KY3),2436774,18.4,False,2019-01-08,2019-Jan-08 23:58,55347.376549,177.5726199538,0.4564848842,68289166.363516654,555.334911581,1241.766612574,898.5507620774999,49732427.3770943
3,"{'kilometers': {'estimated_diameter_min': 0.2457847746, 'estimated_diameter_max': 0.5495914639}, 'meters': {'estimated_diameter_min': 245.7847746328, 'estimated_diameter_max': 549.5914639134}, 'miles': {'estimated_diameter_min': 0.1527235312, 'estimated_diameter_max': 0.3415001975}, 'feet': {'estimated_diameter_min': 806.3805200062, 'estimated_diameter_max': 1803.1216584655}}",513170 (2004 KH15),2513170,20.17,False,2019-01-08,2019-Jan-08 16:58,83140.7020080257,149.9841608884,0.3855633956,57679462.731727372,245.7847746328,549.5914639134,397.6881192731,33064069.416616995
4,"{'kilometers': {'estimated_diameter_min': 0.1010543415, 'estimated_diameter_max': 0.2259643771}, 'meters': {'estimated_diameter_min': 101.054341542, 'estimated_diameter_max': 225.9643771094}, 'miles': {'estimated_diameter_min': 0.0627922373, 'estimated_diameter_max': 0.140407711}, 'feet': {'estimated_diameter_min': 331.5431259047, 'estimated_diameter_max': 741.3529669956}}",(2000 AA6),3025766,22.1,False,2019-01-08,2019-Jan-08 06:01,68857.0657335659,39.7301755586,0.1021341274,15279047.913348638,101.054341542,225.9643771094,163.50935932570002,11258774.703142973
5,"{'kilometers': {'estimated_diameter_min': 0.058150704, 'estimated_diameter_max': 0.130028927}, 'meters': {'estimated_diameter_min': 58.1507039646, 'estimated_diameter_max': 130.0289270043}, 'miles': {'estimated_diameter_min': 0.0361331611, 'estimated_diameter_max': 0.0807962044}, 'feet': {'estimated_diameter_min': 190.7831555951, 'estimated_diameter_max': 426.6041048727}}",(2014 YP9),3702963,23.3,False,2019-01-08,2019-Jan-08 02:54,102292.1358408108,145.2691266261,0.3734424849,55866200.308547163,58.1507039646,130.0289270043,94.08981548444999,9624648.186772183
6,"{'kilometers': {'estimated_diameter_min': 0.0009216265, 'estimated_diameter_max': 0.0020608196}, 'meters': {'estimated_diameter_min': 0.9216265485, 'estimated_diameter_max': 2.0608196123}, 'miles': {'estimated_diameter_min': 0.000572672, 'estimated_diameter_max': 0.0012805335}, 'feet': {'estimated_diameter_min': 3.0237092454, 'estimated_diameter_max': 6.7612194169}}",(2019 AS5),3837685,32.3,False,2019-01-08,2019-Jan-08 00:37,45067.582188396,0.0391743228,0.0001007052,15065.283417924,0.9216265485,2.0608196123,1.4912230804,67205.81873716005
7,"{'kilometers': {'estimated_diameter_min': 0.1460679643, 'estimated_diameter_max': 0.3266178974}, 'meters': {'estimated_diameter_min': 146.0679642714, 'estimated_diameter_max': 326.6178974458}, 'miles': {'estimated_diameter_min': 0.090762397, 'estimated_diameter_max': 0.2029508896}, 'feet': {'estimated_diameter_min': 479.2256199, 'estimated_diameter_max': 1071.581062656}}",(2019 AK7),3837751,21.3,False,2019-01-08,2019-Jan-08 00:02,62869.9836264574,89.7021543831,0.2305967979,34496789.794660473,146.0679642714,326.6178974458,236.3429308586,14858876.193309134
8,"{'kilometers': {'estimated_diameter_min': 0.0092162655, 'estimated_diameter_max': 0.0206081961}, 'meters': {'estimated_diameter_min': 9.216265485, 'estimated_diameter_max': 20.6081961232}, 'miles': {'estimated_diameter_min': 0.0057267201, 'estimated_diameter_max': 0.0128053354}, 'feet': {'estimated_diameter_min': 30.2370924539, 'estimated_diameter_max': 67.6121941689}}",(2019 AS8),3837785,27.3,False,2019-01-08,2019-Jan-08 03:36,35405.2928892197,11.7803806561,0.0302837549,4530385.228642063,9.216265485,20.6081961232,14.912230804099998,527971.8992508047
9,"{'kilometers': {'estimated_diameter_min': 0.1529519353, 'estimated_diameter_max': 0.3420109247}, 'meters': {'estimated_diameter_min': 152.9519353442, 'estimated_diameter_max': 342.0109247198}, 'miles': {'estimated_diameter_min': 0.095039897, 'estimated_diameter_max': 0.2125156703}, 'feet': {'estimated_diameter_min': 501.8108275547, 'estimated_diameter_max': 1122.0831222578}}",(2019 AY9),3837817,21.2,False,2019-01-08,2019-Jan-08 11:50,31578.9248424587,138.1248995903,0.3550768627,53118742.346202449,152.9519353442,342.0109247198,247.481430032,7815197.478884729
